CVE,Unnamed: 0,cve.sourceIdentifier,cve.published,cve.lastModified_y,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,Team,predicted_mean_daily_gain,predicted_total_gain,cvss_category,isNetwork,NOprivilegesRequired,privileges_color,userInteraction,description_short,nvd_url
CVE-2025-9864,368,chrome-cve-admin@google.com,2025-09-03 17:15:34.623,2025-09-04 16:12:52.660,Analyzed,"[{'url': 'https://chromereleases.googleblog.com/2025/09/stable-channel-update-for-desktop.html', 'source': 'chrome-cve-admin@google.com', 'tags': ['Release Notes']}, {'url': 'https://issues.chromium.org/issues/434513380', 'source': 'chrome-cve-admin@google.com', 'tags': ['Issue Tracking', 'Permissions Required']}]",,,,,Use after free in V8 in Google Chrome prior to 140.0.7339.80 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),['cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*'],2.0,['CWE-416'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9864,HackstreetBoys,,,,,,,,Use after free in V8 in Google Chrome prior to 140.0.7339.80 allowed a remote attacker to potentiall...,https://nvd.nist.gov/vuln/detail/CVE-2025-9864
CVE-2025-48543,642,security@android.com,2025-09-04 19:15:40.780,2025-09-05 14:21:38.207,Analyzed,"[{'url': 'https://android.googlesource.com/platform/art/+/444fc40dfb04d2ec5f74c443ed3a4dd45d3131f2', 'source': 'security@android.com', 'tags': ['Product', 'Patch']}, {'url': 'https://source.android.com/security/bulletin/2025-09-01', 'source': 'security@android.com', 'tags': ['Vendor Advisory']}]",2025-09-04,2025-09-25,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",Android Runtime Use-After-Free Vulnerability,"In multiple locations, there is a possible way to escape chrome sandbox to attack android system_server due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","['cpe:2.3:o:google:android:13.0:*:*:*:*:*:*:*', 'cpe:2.3:o:google:android:14.0:*:*:*:*:*:*:*', 'cpe:2.3:o:google:android:15.0:*:*:*:*:*:*:*', 'cpe:2.3:o:google:android:16.0:*:*:*:*:*:*:*']",2.0,['CWE-416'],3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,8.8,HIGH,LOCAL,LOW,LOW,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-48543,HackstreetBoys,,,,,,,,"In multiple locations, there is a possible way to escape chrome sandbox to attack android system_ser...",https://nvd.nist.gov/vuln/detail/CVE-2025-48543
CVE-2025-55142,1175,3c1d8aa1-5a33-4ea4-8992-aadd6440af75,2025-09-09 16:15:34.180,2025-09-24 19:56:55.957,Analyzed,"[{'url': 'https://forums.ivanti.com/s/article/September-Security-Advisory-Ivanti-Connect-Secure-Policy-Secure-ZTA-Gateways-and-Neurons-for-Secure-Access-Multiple-CVEs?language=en_US', 'source': '3c1d8aa1-5a33-4ea4-8992-aadd6440af75', 'tags': ['Vendor Advisory']}]",,,,,"Missing authorization in Ivanti Connect Secure before 22.7R2.9 or 22.8R2, Ivanti Policy Secure before 22.7R1.6, Ivanti ZTA Gateway before 2.8R2.3-723 and Ivanti Neurons for Secure Access before 22.8R1.4 (Fix deployed on 02-Aug-2025) allows a remote authenticated attacker with read-only admin privileges to configure authentication related settings.","['cpe:2.3:a:ivanti:connect_secure:*:*:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:-:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1.1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1.2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1.3:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1.4:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r1.5:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.3:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.4:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.5:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.6:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.7:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:connect_secure:22.7:r2.8:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:*:*:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:-:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1.1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1.2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1.3:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1.4:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:policy_secure:22.7:r1.5:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:zero_trust_access_gateway:22.8:r2.2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:neurons_for_secure_access:*:*:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:neurons_for_secure_access:22.8:r1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:neurons_for_secure_access:22.8:r1.1:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:neurons_for_secure_access:22.8:r1.2:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:neurons_for_secure_access:22.8:r1.3:*:*:*:*:*:*']",1.0,['CWE-862'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-55142,HackstreetBoys,,,,,,,,"Missing authorization in Ivanti Connect Secure before 22.7R2.9 or 22.8R2, Ivanti Policy Secure befor...",https://nvd.nist.gov/vuln/detail/CVE-2025-55142
CVE-2025-21043,1719,mobile.security@samsung.com,2025-09-12 08:15:44.920,2025-10-03 01:00:02.133,Analyzed,"[{'url': 'https://security.samsungmobile.com/securityUpdate.smsb?year=2025&month=09', 'source': 'mobile.security@samsung.com', 'tags': ['Vendor Advisory']}]",2025-10-02,2025-10-23,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",Samsung Mobile Devices Out-of-Bounds Write Vulnerability,Out-of-bounds write in libimagecodec.quram.so prior to SMR Sep-2025 Release 1 allows remote attackers to execute arbitrary code.,"['cpe:2.3:o:samsung:android:13.0:-:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-apr-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-apr-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-apr-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-apr-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-aug-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-aug-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-aug-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-aug-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-dec-2021-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-dec-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-dec-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-dec-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-feb-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-feb-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-feb-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-feb-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jan-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jan-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jan-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jan-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jul-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jul-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jul-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jul-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jun-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jun-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jun-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-jun-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-mar-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-mar-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-mar-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-mar-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-may-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-may-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-may-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-may-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-nov-2021-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-nov-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-nov-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-nov-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-oct-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-oct-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-oct-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-sep-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-sep-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:13.0:smr-sep-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:-:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-apr-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-apr-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-apr-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-apr-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-aug-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-aug-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-aug-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-aug-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-dec-2021-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-dec-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-dec-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-dec-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-feb-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-feb-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-feb-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-feb-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jan-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jan-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jan-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jan-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jul-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jul-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jul-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jul-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jun-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jun-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jun-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-jun-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-mar-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-mar-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-mar-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-mar-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-may-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-may-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-may-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-may-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-nov-2021-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-nov-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-nov-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-nov-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-oct-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-oct-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-oct-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-sep-2022-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-sep-2023-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:14.0:smr-sep-2024-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:-:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-apr-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-aug-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-jul-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-jun-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-mar-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:15.0:smr-may-2025-r1:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:16.0:-:*:*:*:*:*:*', 'cpe:2.3:o:samsung:android:16.0:smr-aug-2025-r1:*:*:*:*:*:*']",1.0,['CWE-787'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-21043,HackstreetBoys,,,,,,,,Out-of-bounds write in libimagecodec.quram.so prior to SMR Sep-2025 Release 1 allows remote attacker...,https://nvd.nist.gov/vuln/detail/CVE-2025-21043
CVE-2025-10628,2690,cna@vuldb.com,2025-09-18 01:15:35.000,2025-09-22 18:22:33.123,Analyzed,"[{'url': 'https://github.com/i-Corner/cve/issues/31', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory', 'Issue Tracking']}, {'url': 'https://vuldb.com/?ctiid.324658', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.324658', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.650656', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.dlink.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/i-Corner/cve/issues/31', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory', 'Issue Tracking']}]",,,,,A vulnerability was found in D-Link DIR-852 1.00CN B09. This vulnerability affects unknown code of the file /htdocs/cgibin/hedwig.cgi of the component Web Management Interface. Performing manipulation results in command injection. The attack is possible to be carried out remotely. The exploit has been made public and could be used. This vulnerability only affects products that are no longer supported by the maintainer.,['cpe:2.3:o:dlink:dir-852_firmware:1.00cn_b09:*:*:*:*:*:*:*'],6.0,"['CWE-74', 'CWE-77', 'CWE-77']",3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10628,HackstreetBoys,,,,,,,,A vulnerability was found in D-Link DIR-852 1.00CN B09. This vulnerability affects unknown code of t...,https://nvd.nist.gov/vuln/detail/CVE-2025-10628
CVE-2025-10890,3648,chrome-cve-admin@google.com,2025-09-24 17:15:39.620,2025-09-25 15:56:42.057,Analyzed,"[{'url': 'https://chromereleases.googleblog.com/2025/09/stable-channel-update-for-desktop_23.html', 'source': 'chrome-cve-admin@google.com', 'tags': ['Release Notes', 'Vendor Advisory']}, {'url': 'https://issues.chromium.org/issues/430336833', 'source': 'chrome-cve-admin@google.com', 'tags': ['Issue Tracking', 'Permissions Required']}]",,,,,Side-channel information leakage in V8 in Google Chrome prior to 140.0.7339.207 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: High),['cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*'],2.0,"['CWE-1300', 'CWE-203', 'CWE-203']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,CVE-2025-10890,HackstreetBoys,,,,,,,,Side-channel information leakage in V8 in Google Chrome prior to 140.0.7339.207 allowed a remote att...,https://nvd.nist.gov/vuln/detail/CVE-2025-10890
CVE-2025-20334,3652,psirt@cisco.com,2025-09-24 17:15:40.337,2025-09-24 18:11:24.520,Awaiting Analysis,"[{'url': 'https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ios-xe-cmd-inject-rPJM8BGL', 'source': 'psirt@cisco.com'}]",,,,,"A vulnerability in the HTTP API subsystem of Cisco IOS XE Software could allow a remote attacker to inject commands that will execute with root privileges into the underlying operating system.
 This vulnerability is due to insufficient input validation. An attacker with administrative privileges could exploit this vulnerability by authenticating to an affected system and performing an API call with crafted input. Alternatively, an unauthenticated attacker could persuade a legitimate user with administrative privileges who is currently logged in to the system to click a crafted link. A successful exploit could allow the attacker to execute arbitrary commands as the root user.",[],1.0,['CWE-77'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-20334,HackstreetBoys,,,,,,,,A vulnerability in the HTTP API subsystem of Cisco IOS XE Software could allow a remote attacker to ...,https://nvd.nist.gov/vuln/detail/CVE-2025-20334
CVE-2025-20362,3761,psirt@cisco.com,2025-09-25 16:15:32.280,2025-09-26 19:26:43.497,Analyzed,"[{'url': 'https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-webvpn-YROOTUW', 'source': 'psirt@cisco.com', 'tags': ['Vendor Advisory']}, {'url': 'https://sec.cloudapps.cisco.com/security/center/resources/asa_ftd_continued_attacks', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Vendor Advisory']}]",2025-09-25,2025-09-26,The KEV due date refers to the deadline by which FCEB agencies are expected to review and begin implementing the guidance outlined in Emergency Directive (ED) 25-03 (URL listed below in Notes). Agencies must follow the mitigation steps provided by CISA (URL listed below in Notes) and vendor’s instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.,Cisco Secure Firewall Adaptive Security (ASA) Appliance and Secure Firewall Threat Defense (FTD) Missing Authorization Vulnerability,"A vulnerability in the VPN web server of Cisco Secure Firewall Adaptive Security Appliance (ASA) Software and Cisco Secure Firewall Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to access restricted URL endpoints that are related to remote access VPN that should otherwise be inaccessible without authentication.
 This vulnerability is due to improper validation of user-supplied input in HTTP(S) requests. An attacker could exploit this vulnerability by sending crafted HTTP requests to a targeted web server on a device. A successful exploit could allow the attacker to access a restricted URL without authentication.","['cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*']",2.0,['CWE-862'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,NONE,CVE-2025-20362,HackstreetBoys,,,,,,,,A vulnerability in the VPN web server of Cisco Secure Firewall Adaptive Security Appliance (ASA) Sof...,https://nvd.nist.gov/vuln/detail/CVE-2025-20362
CVE-2025-20363,3762,psirt@cisco.com,2025-09-25 16:15:32.497,2025-09-29 14:00:07.787,Analyzed,"[{'url': 'https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-http-code-exec-WmfP3h3O', 'source': 'psirt@cisco.com', 'tags': ['Vendor Advisory']}]",,,,,"A vulnerability in the web services of Cisco Secure Firewall Adaptive Security Appliance (ASA) Software, Cisco Secure Firewall Threat Defense (FTD) Software, Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software could allow an unauthenticated, remote attacker (Cisco ASA and FTD Software) or authenticated, remote attacker (Cisco IOS, IOS XE, and IOS XR Software) with low user privileges to execute arbitrary code on an affected device. 
 This vulnerability is due to improper validation of user-supplied input in HTTP requests. An attacker could exploit this vulnerability by sending crafted HTTP requests to a targeted web service on an affected device after obtaining additional information about the system, overcoming exploit mitigations, or both. A successful exploit could allow the attacker to execute arbitrary code as root, which may lead to the complete compromise of the affected device.
 For more information about this vulnerability, see the Details [""#details""] section of this advisory.","['cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:*:*:*:*:*:*:*:*', 'cpe:2.3:a:cisco:firepower_threat_defense:7.6.0:*:*:*:*:*:*:*']",1.0,['CWE-122'],3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,9.0,CRITICAL,NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-20363,HackstreetBoys,,,,,,,,A vulnerability in the web services of Cisco Secure Firewall Adaptive Security Appliance (ASA) Softw...,https://nvd.nist.gov/vuln/detail/CVE-2025-20363
CVE-2025-36274,3976,psirt@us.ibm.com,2025-09-26 15:16:03.207,2025-09-29 19:34:10.030,Awaiting Analysis,"[{'url': 'https://www.ibm.com/support/pages/node/7246284', 'source': 'psirt@us.ibm.com'}]",,,,,IBM Aspera HTTP Gateway 2.0.0 through 2.3.1 stores sensitive information in clear text in easily obtainable files which can be read by an unauthenticated user.,[],1.0,['CWE-319'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-36274,HackstreetBoys,,,,,,,,IBM Aspera HTTP Gateway 2.0.0 through 2.3.1 stores sensitive information in clear text in easily obt...,https://nvd.nist.gov/vuln/detail/CVE-2025-36274
